,AC ID,Actual Departure Time,Arrival Time,Fuel Consumed
0,KLM01-01,01-Sep-2017 01:49:00,01-Sep-2017 04:32:20,6949.87
1,KLM01-10,01-Sep-2017 01:49:00,01-Sep-2017 04:32:20,6949.87
2,KLM01-09,01-Sep-2017 01:49:00,01-Sep-2017 04:32:20,6949.87
3,KLM01-08,01-Sep-2017 01:49:00,01-Sep-2017 04:32:20,6949.87
4,KLM01-07,01-Sep-2017 01:49:00,01-Sep-2017 04:32:20,6949.87
5,KLM01-06,01-Sep-2017 01:49:00,01-Sep-2017 04:32:20,6949.87
6,KLM01-05,01-Sep-2017 01:49:00,01-Sep-2017 04:32:20,6949.87
7,KLM01-04,01-Sep-2017 01:49:00,01-Sep-2017 04:32:20,6949.87
8,KLM01-03,01-Sep-2017 01:49:00,01-Sep-2017 04:32:20,6949.87
9,KLM01-02,01-Sep-2017 01:49:00,01-Sep-2017 04:32:20,6949.87
10,KLM03-01,01-Sep-2017 02:36:00,01-Sep-2017 04:49:10,5370.475
11,KLM03-10,01-Sep-2017 02:36:00,01-Sep-2017 04:49:10,5370.475
12,KLM03-09,01-Sep-2017 02:36:00,01-Sep-2017 04:49:10,5370.475
13,KLM03-08,01-Sep-2017 02:36:00,01-Sep-2017 04:49:10,5370.475
14,KLM03-07,01-Sep-2017 02:36:00,01-Sep-2017 04:49:10,5370.475
15,KLM03-06,01-Sep-2017 02:36:00,01-Sep-2017 04:49:10,5370.475
16,KLM03-05,01-Sep-2017 02:36:00,01-Sep-2017 04:49:10,5370.475
17,KLM03-04,01-Sep-2017 02:36:00,01-Sep-2017 04:49:10,5370.475
18,KLM03-03,01-Sep-2017 02:36:00,01-Sep-2017 04:49:10,5370.475
19,KLM03-02,01-Sep-2017 02:36:00,01-Sep-2017 04:49:10,5370.475
20,KLM02-01,01-Sep-2017 02:05:00,01-Sep-2017 05:12:50,8103.673
21,KLM02-10,01-Sep-2017 02:05:00,01-Sep-2017 05:12:50,8103.673
22,KLM02-09,01-Sep-2017 02:05:00,01-Sep-2017 05:12:50,8103.673
23,KLM02-08,01-Sep-2017 02:05:00,01-Sep-2017 05:12:50,8103.673
24,KLM02-07,01-Sep-2017 02:05:00,01-Sep-2017 05:12:50,8103.673
25,KLM02-06,01-Sep-2017 02:05:00,01-Sep-2017 05:12:50,8103.673
26,KLM02-05,01-Sep-2017 02:05:00,01-Sep-2017 05:12:50,8103.673
27,KLM02-04,01-Sep-2017 02:05:00,01-Sep-2017 05:12:50,8103.673
28,KLM02-03,01-Sep-2017 02:05:00,01-Sep-2017 05:12:50,8103.673
29,KLM02-02,01-Sep-2017 02:05:00,01-Sep-2017 05:12:50,8103.673
