,AC ID,Actual Departure Time,Arrival Time,Fuel Consumed,Runs
0,KLM01-01,01-Sep-2017 01:49:00,01-Sep-2017 04:20:35,6500.773,reference
0,KLM01-01,01-Sep-2017 01:49:00,01-Sep-2017 04:21:46,6596.224,TW = 60
0,KLM01-01,01-Sep-2017 01:49:00,01-Sep-2017 04:20:35,6500.773,reference
0,KLM01-01,01-Sep-2017 01:49:00,01-Sep-2017 04:21:46,6596.224,TW = 60
0,ADH931,09-Sep-2014 05:07:00,09-Sep-2014 05:58:51,3185.385
