,id,time,fuel
321,EIN111_EINN_KJFK_20140912112000.scn,18:15:28,[75651.40436256]
322,AFR234H_LFML_LIPZ_20140912082000.scn,09:14:15,[62119.63025228]
323,GWI2807_BIKF_EDDS_20140912003000.scn,03:46:36,[53586.10589497]
324,KLM1395_EHAM_ULLI_20140912104500.scn,13:10:34,[55230.34874563]
325,AUA522D_LIPZ_LOWW_20140912085500.scn,17:51:52,[16790.33351638]
326,RYR5008_GMMW_EDFH_20140912183500.scn,21:18:12,[59038.79130667]
327,EZY471_EGAA_EGPF_20140912201000.scn,00:02:33,[59801.49421454]
328,PGT424_LIPE_LTFJ_20140912122000.scn,14:29:04,[60360.18382978]
329,WZZ114_EGGW_LKPR_20140912195000.scn,22:38:19,[60552.70475464]
330,AFL2352_UUEE_LOWW_20140912122500.scn,14:44:51,[66294.0741628]
331,BEL724_LSGG_EBBR_20140912190500.scn,20:01:57,[22822.26855208]
332,SWR779_EBBR_LSZH_20140912085400.scn,18:53:52,[62582.99804467]
333,ROT608D_LRTR_LROP_20140912161000.scn,16:52:27,[117599.62396846]
334,TFL219_EHAM_LGSM_20140912033000.scn,06:44:04,[58236.86533306]
335,AUA381_LOWW_UKLL_20140912110000.scn,12:07:00,[16674.87530791]
336,FPO551_LFRN_LFRB_20140912005500.scn,01:12:39,[51997.4205762]
337,DTH3057_LFMH_DAAS_20140912143000.scn,16:31:03,[62113.32803007]
338,BAW66Q_EGKK_GMMX_20140912140500.scn,16:08:01,[50838.75996073]
339,AUA601_LOWW_UUDD_20140912080000.scn,10:13:16,[59123.44293695]
340,BER717E_LOWG_EDDT_20140912125000.scn,13:40:06,[58145.32839575]
341,DLH156_EDDF_EDDP_20140912072500.scn,08:06:46,[59019.49095994]
342,SAS1842_LIRF_ESSA_20140912081000.scn,16:33:13,[59323.45118256]
343,MIBID_LGIR_LGAV_20140912110000.scn,11:20:30,[283353.01866368]
344,DLH1HU_EDDK_EDDM_20140912073000.scn,11:41:46,[62637.42698353]
345,QTR022_EGCC_OTHH_20140912082500.scn,20:23:51,[156741.35344203]
346,SHT2J_EGLL_EGCC_20140912075500.scn,08:32:54,[63204.22426257]
347,CCA931_ZBAA_EDDF_20140912060000.scn,03:48:43,[206484.37821219]
348,BEL7PC_EBBR_LIML_20140912143500.scn,15:27:01,[57854.78975684]
349,NJE2FD_LIRA_LIEO_20140912120000.scn,12:56:18,[15103.06956728]
350,SAS1042_ESSA_ESNQ_20140912095000.scn,11:10:27,[57307.53896609]
351,OHY2160_EDDC_LTAI_20140912184000.scn,12:14:18,[65128.60714752]
352,MON752A_EGKK_LTBS_20140912200000.scn,00:14:09,[172067.45133149]
353,TAP803L_LIMC_LPPT_20140912094200.scn,21:23:25,[59086.57267308]
354,DLH8PK_LHBP_EDDM_20140912181500.scn,07:37:52,[278988.84891958]
355,SAS618_LSGG_EKCH_20140912180500.scn,01:27:16,[273077.29649203]
356,VLG2473_GCRR_LEBL_20140912145000.scn,02:59:06,[57490.53820067]
357,EZY92FN_LPPT_EGGP_20140912121500.scn,14:32:33,[55346.69755721]
358,KLM59Z_EHAM_LSGG_20140912193000.scn,06:17:34,[57652.58579492]
359,PGT4629_LTCJ_LTFJ_20140912083500.scn,20:56:18,[61944.45200842]
360,ADH931_LICC_LIRP_20140912072000.scn,06:08:30,[61419.3950825]
361,AEE929_LLBG_LGAV_20140912023000.scn,04:13:40,[60638.68757974]
362,LBT7362_DTNH_LKPR_20140912104500.scn,07:09:15,[59194.08873253]
363,AUI34L_UKLL_UKBB_20140912040000.scn,04:43:36,[63764.1286718]
364,BLX328_LGKO_ESSA_20140912103000.scn,13:49:54,[134826.69329116]
365,BAW4TM_EHRD_EGLL_20140912082000.scn,20:44:49,[59289.74912345]
366,DLH08W_EDDF_LFPG_20140912100500.scn,16:27:57,[58703.47189247]
367,TAP1015_LEMD_LPPT_20140912130000.scn,13:43:37,[16282.66111369]
368,PRI5403_LFLL_LFPG_20140912003000.scn,01:09:22,[63920.99063437]
369,TAY011_KJFK_EBLG_20140912140000.scn,20:46:42,[227391.00862001]
370,AZA1572_LIEA_LIRF_20140912053000.scn,06:12:18,[62568.59317421]
371,EXS79G_EGNM_LPMA_20140912132000.scn,09:48:04,[44887.90057517]
372,EIN111_EINN_KJFK_20140912112000.scn,18:16:54,[75565.24495346]
373,AFR234H_LFML_LIPZ_20140912082000.scn,09:14:07,[62121.43396597]
374,GWI2807_BIKF_EDDS_20140912003000.scn,03:46:37,[53573.79922748]
375,KLM1395_EHAM_ULLI_20140912104500.scn,13:10:34,[55201.88095444]
376,AUA522D_LIPZ_LOWW_20140912085500.scn,17:51:52,[16790.06812546]
377,RYR5008_GMMW_EDFH_20140912183500.scn,21:18:18,[59051.70233182]
378,EZY471_EGAA_EGPF_20140912201000.scn,00:02:31,[59804.34436719]
379,PGT424_LIPE_LTFJ_20140912122000.scn,14:27:16,[60428.94275629]
380,WZZ114_EGGW_LKPR_20140912195000.scn,22:38:01,[60567.07289453]
381,AFL2352_UUEE_LOWW_20140912122500.scn,14:43:49,[66360.84192049]
382,BEL724_LSGG_EBBR_20140912190500.scn,20:02:16,[22814.79768598]
383,SWR779_EBBR_LSZH_20140912085400.scn,18:53:51,[62591.71268104]
384,ROT608D_LRTR_LROP_20140912161000.scn,16:52:30,[117590.68425241]
385,TFL219_EHAM_LGSM_20140912033000.scn,06:44:03,[58307.21654256]
386,AUA381_LOWW_UKLL_20140912110000.scn,12:07:06,[16675.12534536]
387,FPO551_LFRN_LFRB_20140912005500.scn,01:12:43,[51995.590356]
388,DTH3057_LFMH_DAAS_20140912143000.scn,16:30:22,[62160.35432828]
389,BAW66Q_EGKK_GMMX_20140912140500.scn,16:08:21,[50779.55018744]
390,AUA601_LOWW_UUDD_20140912080000.scn,10:14:25,[59073.94315881]
391,BER717E_LOWG_EDDT_20140912125000.scn,13:39:52,[58147.20196109]
392,DLH156_EDDF_EDDP_20140912072500.scn,08:06:43,[59039.81179038]
393,SAS1842_LIRF_ESSA_20140912081000.scn,16:33:19,[59318.93087236]
394,MIBID_LGIR_LGAV_20140912110000.scn,11:20:18,[283379.65894132]
395,DLH1HU_EDDK_EDDM_20140912073000.scn,11:41:45,[62636.29844378]
396,QTR022_EGCC_OTHH_20140912082500.scn,20:22:10,[156873.10562521]
397,SHT2J_EGLL_EGCC_20140912075500.scn,08:32:49,[63207.90029164]
398,CCA931_ZBAA_EDDF_20140912060000.scn,03:47:37,[206682.26183191]
399,BEL7PC_EBBR_LIML_20140912143500.scn,15:27:01,[57863.89501711]
400,NJE2FD_LIRA_LIEO_20140912120000.scn,12:56:15,[15111.21244094]
401,SAS1042_ESSA_ESNQ_20140912095000.scn,11:10:25,[57314.40083502]
402,OHY2160_EDDC_LTAI_20140912184000.scn,12:13:37,[65162.6637394]
403,MON752A_EGKK_LTBS_20140912200000.scn,00:12:54,[172226.49008866]
404,TAP803L_LIMC_LPPT_20140912094200.scn,21:23:40,[59055.50616419]
405,DLH8PK_LHBP_EDDM_20140912181500.scn,07:38:25,[278919.71242666]
406,SAS618_LSGG_EKCH_20140912180500.scn,01:27:00,[273114.75885154]
407,VLG2473_GCRR_LEBL_20140912145000.scn,02:57:10,[57555.1209345]
408,EZY92FN_LPPT_EGGP_20140912121500.scn,14:34:03,[55284.50346607]
409,KLM59Z_EHAM_LSGG_20140912193000.scn,06:17:31,[57637.72482769]
